,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
103893,103922,04/05/84,,M9M,T850065145,BUILDING RENOVATOR,M9M,43.753277,-79.538902,1984,M9M
103894,103923,15/05/84,FIRST CHOICE WINDOW INSTALLATION,L4C,T850065343,BUILDING RENOVATOR,L4C,43.894145,-79.436629,1984,L4C
103895,103924,04/05/84,,L4Y,T850065350,BUILDING RENOVATOR,L4Y,43.606689,-79.718544,1984,L4Y
103896,103925,28/05/84,,M4J,T850065392,BUILDING RENOVATOR,M4J,43.721377,-79.257537,1984,M4J
103897,103926,15/05/84,,M5M,T850065657,BUILDING RENOVATOR,M5M,43.735323,-79.418211,1984,M5M
103898,103927,19/02/76,,M6B,T850065848,BUILDING RENOVATOR,M6B,43.705605,-79.428726,1976,M6B
103899,103928,30/05/84,,M6C,T850065863,BUILDING RENOVATOR,M6C,43.69846,-79.438896,1984,M6C
103900,103929,30/05/84,,L4W,T850065871,BUILDING RENOVATOR,L4W,43.641258,-79.614474,1984,L4W
103901,103930,08/02/73,,M3M,T850065939,BUILDING RENOVATOR,M3M,43.721721,-79.493153,1973,M3M
103902,103931,11/06/84,,L3R,T850066200,BUILDING RENOVATOR,L3R,43.841094,-79.325796,1984,L3R
103903,103932,11/06/84,,L3S,T850066333,BUILDING RENOVATOR,L3S,43.822307,-79.301551,1984,L3S
103904,103933,03/07/84,,M3N,T850066663,BUILDING RENOVATOR,M3N,43.752712,-79.512823,1984,M3N
103905,103934,18/06/84,,L6T,T850066671,BUILDING RENOVATOR,L6T,43.739983,-79.650583,1984,L6T
103906,103935,20/06/84,SEAL-TITE ROOFING & SHEET METAL,L4T,T850066879,BUILDING RENOVATOR,L4T,43.628726,-79.664034,1984,L4T
103907,103936,03/07/84,,L0C,T850067364,BUILDING RENOVATOR,L0C,43.885423,-79.300481,1984,L0C
103908,103937,12/07/84,,L6B,T850067521,BUILDING RENOVATOR,L6B,43.875097,-79.227817,1984,L6B
